input,output
"{""id"": ""1"", ""author"": ""Zara"", ""message"": ""Is anyone else just completely OVER the skincare industrial complex? 😩 Like, every week there's a new 'must-have' serum that costs more than my rent. My skin feels fine, but the internet makes me feel like I need 10 steps and a chemical peel. Just give me simple, effective, and *affordable* recs please 🙏 #skincarestruggle #overwhelmed"", ""keywords"": [""rant"", ""question"", ""request"", ""overwhelmed""]}","{""id"": ""1"", ""author"": ""Zara"", ""scores"": {""emotions"": {""joy"": 0, ""gratitude"": 10, ""admiration"": 0, ""anticipation"": 35, ""trust"": 30, ""surprise"": 0, ""sadness"": 55, ""anger"": 35, ""frustration"": 90, ""disgust"": 45, ""fear"": 15, ""contempt"": 40, ""neutral"": 5}, ""moderation"": {""toxicity"": 8, ""insult"": 0, ""harassment"": 0, ""profanity"": 0, ""obscene_gesture"": 0, ""threat_violence"": 0, ""hate_speech"": 0, ""sexual_explicit"": 0, ""sexual_solicitation"": 0, ""sexual_minor_risk"": 0, ""self_harm"": 0, ""doxxing"": 0, ""spam"": 0}, ""overall_risk"": 12}, ""explainability"": {""top_matched_keywords"": [""rant"", ""question"", ""request"", ""overwhelmed"", ""completely OVER"", ""skincare industrial complex"", ""😩"", ""costs more than my rent"", ""internet makes me feel"", ""affordable recs please 🙏""], ""top_modifiers"": [""completely"", ""😩"", ""🙏"", ""rhetorical question"", ""exaggeration""], ""rule_traces"": [{""rule"": ""criticism_of_industry_system"", ""impact"": 20}, {""rule"": ""expression_of_overwhelm_or_struggle"", ""impact"": 25}, {""rule"": ""negative_emotion_emoji"", ""impact"": 15}, {""rule"": ""direct_request_for_advice_or_help"", ""impact"": 10}, {""rule"": ""positive_emotion_emoji_plea"", ""impact"": 5}, {""rule"": ""rhetorical_question_frustration"", ""impact"": 10}]}, ""escalate"": false, ""escalation_reasons"": [], ""action_recommendation"": ""none""}"
"{""id"": ""2"", ""author"": ""Kai"", ""message"": ""OMG YES @Zara! It's so much pressure. Tbh I've scaled back to just a gentle cleanser, vitamin C serum, and SPF. The Ordinary's Vit C is my holy grail and doesn't break the bank. You HAVE to try it. #skincarestruggle"", ""keywords"": [""agreement"", ""advice"", ""product-rec"", ""callback""]}","{""id"": ""2"", ""author"": ""Kai"", ""scores"": {""emotions"": {""joy"": 85, ""gratitude"": 40, ""admiration"": 60, ""anticipation"": 75, ""trust"": 80, ""surprise"": 30, ""sadness"": 10, ""anger"": 0, ""frustration"": 15, ""disgust"": 0, ""fear"": 0, ""contempt"": 0, ""neutral"": 5}, ""moderation"": {""toxicity"": 0, ""insult"": 0, ""harassment"": 0, ""profanity"": 0, ""obscene_gesture"": 0, ""threat_violence"": 0, ""hate_speech"": 0, ""sexual_explicit"": 0, ""sexual_solicitation"": 0, ""sexual_minor_risk"": 0, ""self_harm"": 0, ""doxxing"": 0, ""spam"": 5}, ""overall_risk"": 2}, ""explainability"": {""top_matched_keywords"": [""OMG YES"", ""so much pressure"", ""holy grail"", ""doesn't break the bank"", ""You HAVE to try it"", ""#skincarestruggle"", ""agreement"", ""advice"", ""product-rec""], ""top_modifiers"": [""OMG"", ""YES"", ""so much"", ""holy grail"", ""HAVE to""], ""rule_traces"": [{""rule"": ""positive_affirmation"", ""impact"": 20}, {""rule"": ""enthusiastic_product_recommendation"", ""impact"": 15}, {""rule"": ""shared_experience_empathy"", ""impact"": 5}, {""rule"": ""strong_positive_endorsement"", ""impact"": 10}]}, ""escalate"": false, ""escalation_reasons"": [], ""action_recommendation"": ""none""}"
"{""id"": ""3"", ""author"": ""Lena"", ""message"": ""The Ordinary is great but sometimes the pure L-Ascorbic Acid can be irritating for sensitive skin. i prefer a derivative like Ascorbyl Glucoside for less drama ✨"", ""keywords"": [""nuance"", ""advice"", ""fragment""]}","{""id"": ""3"", ""author"": ""Lena"", ""scores"": {""emotions"": {""joy"": 25, ""gratitude"": 10, ""admiration"": 35, ""anticipation"": 0, ""trust"": 70, ""surprise"": 5, ""sadness"": 0, ""anger"": 0, ""frustration"": 15, ""disgust"": 0, ""fear"": 0, ""contempt"": 0, ""neutral"": 60}, ""moderation"": {""toxicity"": 0, ""insult"": 0, ""harassment"": 0, ""profanity"": 0, ""obscene_gesture"": 0, ""threat_violence"": 0, ""hate_speech"": 0, ""sexual_explicit"": 0, ""sexual_solicitation"": 0, ""sexual_minor_risk"": 0, ""self_harm"": 0, ""doxxing"": 0, ""spam"": 0}, ""overall_risk"": 0}, ""explainability"": {""top_matched_keywords"": [""The Ordinary is great"", ""L-Ascorbic Acid"", ""irritating for sensitive skin"", ""Ascorbyl Glucoside"", ""less drama"", ""✨""], ""top_modifiers"": [""positive_adjective"", ""cautionary_phrase"", ""personal_preference"", ""positive_emoji""], ""rule_traces"": [{""rule"": ""product_endorsement"", ""impact"": 10}, {""rule"": ""cautionary_review"", ""impact"": 5}, {""rule"": ""alternative_suggestion"", ""impact"": 10}, {""rule"": ""positive_sentiment_emoji"", ""impact"": 5}]}, ""escalate"": false, ""escalation_reasons"": [], ""action_recommendation"": ""none""}"
"{""id"": ""4"", ""author"": ""Kai"", ""message"": ""True! My skin is usually pretty robust but that's a good point for people who are more sensitive. Thanks for the add, @Lena!"", ""keywords"": [""follow-up"", ""gratitude"", ""clarification""]}","{""id"": ""4"", ""author"": ""Kai"", ""scores"": {""emotions"": {""joy"": 65, ""gratitude"": 95, ""admiration"": 50, ""anticipation"": 0, ""trust"": 70, ""surprise"": 10, ""sadness"": 0, ""anger"": 0, ""frustration"": 0, ""disgust"": 0, ""fear"": 0, ""contempt"": 0, ""neutral"": 5}, ""moderation"": {""toxicity"": 0, ""insult"": 0, ""harassment"": 0, ""profanity"": 0, ""obscene_gesture"": 0, ""threat_violence"": 0, ""hate_speech"": 0, ""sexual_explicit"": 0, ""sexual_solicitation"": 0, ""sexual_minor_risk"": 0, ""self_harm"": 0, ""doxxing"": 0, ""spam"": 0}, ""overall_risk"": 0}, ""explainability"": {""top_matched_keywords"": [""True!"", ""good point"", ""Thanks for the add"", ""@Lena"", ""gratitude"", ""clarification""], ""top_modifiers"": [""!"", ""Thanks""], ""rule_traces"": [{""rule"": ""explicit_gratitude"", ""impact"": 30}, {""rule"": ""positive_acknowledgement"", ""impact"": 20}, {""rule"": ""social_tagging_positive"", ""impact"": 5}]}, ""escalate"": false, ""escalation_reasons"": [], ""action_recommendation"": ""none""}"
"{""id"": ""5"", ""author"": ""Omar"", ""message"": ""Me, just washing my face with tap water and praying to the skin gods lol 😂 Nah but seriously, Cetaphil Daily Facial Cleanser and a basic moisturizer. That's it. Keep it simple like OP said. Why complicate things?"", ""keywords"": [""sarcasm"", ""humor"", ""advice"", ""agreement""]}","{""id"": ""5"", ""author"": ""Omar"", ""scores"": {""emotions"": {""joy"": 70, ""gratitude"": 10, ""admiration"": 15, ""anticipation"": 0, ""trust"": 60, ""surprise"": 5, ""sadness"": 0, ""anger"": 0, ""frustration"": 0, ""disgust"": 0, ""fear"": 0, ""contempt"": 0, ""neutral"": 40}, ""moderation"": {""toxicity"": 0, ""insult"": 0, ""harassment"": 0, ""profanity"": 0, ""obscene_gesture"": 0, ""threat_violence"": 0, ""hate_speech"": 0, ""sexual_explicit"": 0, ""sexual_solicitation"": 0, ""sexual_minor_risk"": 0, ""self_harm"": 0, ""doxxing"": 0, ""spam"": 0}, ""overall_risk"": 0}, ""explainability"": {""top_matched_keywords"": [""sarcasm"", ""humor"", ""advice"", ""agreement"", ""lol 😂"", ""Cetaphil Daily Facial Cleanser"", ""Keep it simple"", ""Why complicate things?""], ""top_modifiers"": [""emoji_joy"", ""sarcasm_indicator"", ""rhetorical_question""], ""rule_traces"": [{""rule"": ""humor_detection"", ""impact"": 25}, {""rule"": ""advice_giving"", ""impact"": 15}, {""rule"": ""agreement_positive"", ""impact"": 10}]}, ""escalate"": false, ""escalation_reasons"": [], ""action_recommendation"": ""none""}"
"{""id"": ""6"", ""author"": ""Zara"", ""message"": ""LMAO @Omar you're my spirit animal 😂 Which basic moisturizer tho? Give me the deets! I need to ditch my fancy overpriced tub of 'miracle cream'."", ""keywords"": [""humor"", ""question"", ""follow-up""]}","{""id"": ""6"", ""author"": ""Zara"", ""scores"": {""emotions"": {""joy"": 85, ""gratitude"": 30, ""admiration"": 75, ""anticipation"": 70, ""trust"": 70, ""surprise"": 5, ""sadness"": 0, ""anger"": 0, ""frustration"": 15, ""disgust"": 0, ""fear"": 0, ""contempt"": 10, ""neutral"": 5}, ""moderation"": {""toxicity"": 0, ""insult"": 0, ""harassment"": 0, ""profanity"": 5, ""obscene_gesture"": 0, ""threat_violence"": 0, ""hate_speech"": 0, ""sexual_explicit"": 0, ""sexual_solicitation"": 0, ""sexual_minor_risk"": 0, ""self_harm"": 0, ""doxxing"": 0, ""spam"": 0}, ""overall_risk"": 5}, ""explainability"": {""top_matched_keywords"": [""LMAO"", ""spirit animal"", ""😂"", ""basic moisturizer"", ""Give me the deets"", ""fancy overpriced tub"", ""'miracle cream'""], ""top_modifiers"": [""emoji_positive"", ""slang_positive"", ""question_marker"", ""mild_sarcasm""], ""rule_traces"": [{""rule"": ""positive_slang_use"", ""impact"": 5}, {""rule"": ""positive_emoji_use"", ""impact"": 10}, {""rule"": ""expression_of_admiration"", ""impact"": 15}, {""rule"": ""direct_question"", ""impact"": 5}, {""rule"": ""request_for_information"", ""impact"": 5}, {""rule"": ""mild_sarcasm_product"", ""impact"": 5}]}, ""escalate"": false, ""escalation_reasons"": [], ""action_recommendation"": ""none""}"
"{""id"": ""7"", ""author"": ""Chloe"", ""message"": ""💆‍♀️💸🫠"", ""keywords"": [""emoji-only"", ""solidarity"", ""frustration""]}","{""id"": ""7"", ""author"": ""Chloe"", ""scores"": {""emotions"": {""joy"": 0, ""gratitude"": 0, ""admiration"": 0, ""anticipation"": 5, ""trust"": 0, ""surprise"": 0, ""sadness"": 40, ""anger"": 15, ""frustration"": 80, ""disgust"": 5, ""fear"": 35, ""contempt"": 0, ""neutral"": 10}, ""moderation"": {""toxicity"": 0, ""insult"": 0, ""harassment"": 0, ""profanity"": 0, ""obscene_gesture"": 0, ""threat_violence"": 0, ""hate_speech"": 0, ""sexual_explicit"": 0, ""sexual_solicitation"": 0, ""sexual_minor_risk"": 0, ""self_harm"": 0, ""doxxing"": 0, ""spam"": 0}, ""overall_risk"": 5}, ""explainability"": {""top_matched_keywords"": [""emoji-only"", ""💆‍♀️"", ""💸"", ""🫠"", ""frustration"", ""solidarity""], ""top_modifiers"": [""emoji_distress"", ""emoji_financial_stress"", ""emoji_overwhelmed""], ""rule_traces"": [{""rule"": ""emoji_frustration"", ""impact"": 30}, {""rule"": ""emoji_financial_stress"", ""impact"": 20}, {""rule"": ""emoji_overwhelmed"", ""impact"": 35}, {""rule"": ""keyword_frustration"", ""impact"": 15}]}, ""escalate"": false, ""escalation_reasons"": [], ""action_recommendation"": ""none""}"
"{""id"": ""1"", ""author"": ""ArtHiveMind"", ""message"": ""ngl the whole AI art 'revolution' feels kinda sus to me. like we're just letting algorithms steal from actual artists? where's the soul? 😤 #SupportHumanArt"", ""keywords"": [""hot-take"", ""rant"", ""ethical-concern"", ""question""]}","{""id"": ""1"", ""author"": ""ArtHiveMind"", ""scores"": {""emotions"": {""joy"": 0, ""gratitude"": 0, ""admiration"": 0, ""anticipation"": 0, ""trust"": 0, ""surprise"": 10, ""sadness"": 35, ""anger"": 75, ""frustration"": 85, ""disgust"": 40, ""fear"": 0, ""contempt"": 55, ""neutral"": 5}, ""moderation"": {""toxicity"": 45, ""insult"": 20, ""harassment"": 0, ""profanity"": 0, ""obscene_gesture"": 0, ""threat_violence"": 0, ""hate_speech"": 0, ""sexual_explicit"": 0, ""sexual_solicitation"": 0, ""sexual_minor_risk"": 0, ""self_harm"": 0, ""doxxing"": 0, ""spam"": 0}, ""overall_risk"": 40}, ""explainability"": {""top_matched_keywords"": [""hot-take"", ""rant"", ""ethical-concern"", ""question"", ""AI art 'revolution'"", ""feels kinda sus"", ""algorithms steal from actual artists"", ""where's the soul?"", ""😤"", ""#SupportHumanArt""], ""top_modifiers"": [""ngl"", ""kinda sus"", ""😤"", ""rhetorical_question""], ""rule_traces"": [{""rule"": ""ethical_criticism"", ""impact"": 15}, {""rule"": ""strong_negative_opinion"", ""impact"": 10}, {""rule"": ""anger_frustration_emoji"", ""impact"": 8}, {""rule"": ""accusatory_language_concept"", ""impact"": 12}, {""rule"": ""rhetorical_question_for_emphasis"", ""impact"": 5}]}, ""escalate"": false, ""escalation_reasons"": [], ""action_recommendation"": ""none""}"
"{""id"": ""2"", ""author"": ""PixelPioneer"", ""message"": ""PREACH @ArtHiveMind! i saw some AI 'art' that was literally just a mashup of famous styles. zero originality, just prompt engineering. 🙄"", ""keywords"": [""agreement"", ""frustration"", ""critique"", ""mention""]}","{""id"": ""2"", ""author"": ""PixelPioneer"", ""scores"": {""emotions"": {""joy"": 10, ""gratitude"": 15, ""admiration"": 20, ""anticipation"": 0, ""trust"": 10, ""surprise"": 0, ""sadness"": 5, ""anger"": 35, ""frustration"": 85, ""disgust"": 40, ""fear"": 0, ""contempt"": 60, ""neutral"": 5}, ""moderation"": {""toxicity"": 15, ""insult"": 5, ""harassment"": 0, ""profanity"": 0, ""obscene_gesture"": 0, ""threat_violence"": 0, ""hate_speech"": 0, ""sexual_explicit"": 0, ""sexual_solicitation"": 0, ""sexual_minor_risk"": 0, ""self_harm"": 0, ""doxxing"": 0, ""spam"": 0}, ""overall_risk"": 15}, ""explainability"": {""top_matched_keywords"": [""PREACH"", ""AI 'art'"", ""mashup of famous styles"", ""zero originality"", ""prompt engineering"", ""🙄""], ""top_modifiers"": [""strong affirmation"", ""intensifier"", ""negative appraisal""], ""rule_traces"": [{""rule"": ""strong_agreement_expression"", ""impact"": 10}, {""rule"": ""negative_critique_of_concept"", ""impact"": 20}, {""rule"": ""frustration_emoji_signal"", ""impact"": 8}, {""rule"": ""lack_of_originality_claim"", ""impact"": 15}]}, ""escalate"": false, ""escalation_reasons"": [], ""action_recommendation"": ""none""}"
"{""id"": ""3"", ""author"": ""DigitalDreamer"", ""message"": ""idk, i think it's just another tool. like photography didn't kill painting. it'll evolve. 🤷‍♀️"", ""keywords"": [""counterpoint"", ""opinion"", ""analogy""]}","{""id"": ""3"", ""author"": ""DigitalDreamer"", ""scores"": {""emotions"": {""joy"": 0, ""gratitude"": 0, ""admiration"": 5, ""anticipation"": 35, ""trust"": 25, ""surprise"": 0, ""sadness"": 0, ""anger"": 0, ""frustration"": 0, ""disgust"": 0, ""fear"": 0, ""contempt"": 0, ""neutral"": 70}, ""moderation"": {""toxicity"": 0, ""insult"": 0, ""harassment"": 0, ""profanity"": 0, ""obscene_gesture"": 0, ""threat_violence"": 0, ""hate_speech"": 0, ""sexual_explicit"": 0, ""sexual_solicitation"": 0, ""sexual_minor_risk"": 0, ""self_harm"": 0, ""doxxing"": 0, ""spam"": 0}, ""overall_risk"": 0}, ""explainability"": {""top_matched_keywords"": [""counterpoint"", ""opinion"", ""analogy"", ""just another tool"", ""photography didn't kill painting"", ""it'll evolve"", ""🤷‍♀️""], ""top_modifiers"": [""emoji_shrug"", ""minimizer""], ""rule_traces"": [{""rule"": ""neutral_opinion"", ""impact"": 10}, {""rule"": ""constructive_analogy"", ""impact"": 5}, {""rule"": ""optimistic_outlook"", ""impact"": 3}, {""rule"": ""uncertainty_emoji"", ""impact"": 2}]}, ""escalate"": false, ""escalation_reasons"": [], ""action_recommendation"": ""none""}"
